datetime_ist,epoch,open,high,low,close,volume
2017-07-03 09:15:00,1499053500,200.21,200.81,198.93,199.99,534200
2017-07-03 10:15:00,1499057100,199.99,202.19,199.74,201.7,2905615
2017-07-03 11:15:00,1499060700,201.7,205.52,201.7,203.82,3350905
2017-07-03 12:15:00,1499064300,203.82,204.99,203.82,204.55,4417070
2017-07-03 13:15:00,1499067900,204.53,204.79,203.71,204.28,1905135
2017-07-03 14:15:00,1499071500,204.28,206.8,204.15,205.6,2373290
2017-07-03 15:15:00,1499075100,205.6,206.5,205.3,205.84,709405
2017-07-04 09:15:00,1499139900,207.4,208.89,206.6,208.38,9842140
2017-07-04 10:15:00,1499143500,208.37,210.32,207.37,209.9,2322100
2017-07-04 11:15:00,1499147100,209.9,209.96,208.09,208.66,586905
2017-07-04 12:15:00,1499150700,208.64,210.24,204.78,209.46,2138385
2017-07-04 13:15:00,1499154300,209.46,211.18,208.88,209.98,922265
2017-07-04 14:15:00,1499157900,209.82,210.36,208.69,209.17,632140
2017-07-04 15:15:00,1499161500,209.17,210.01,208.82,209.43,342225
2017-07-05 09:15:00,1499226300,211.8,216.4,210.15,216.04,9548295
2017-07-05 10:15:00,1499229900,216.04,216.14,213.69,215.21,1253365
2017-07-05 11:15:00,1499233500,215.21,216.19,214.87,215.94,1365975
2017-07-05 12:15:00,1499237100,215.94,217,215.5,216.4,1622190
2017-07-05 13:15:00,1499240700,216.4,217.4,215.8,217,1675440
2017-07-05 14:15:00,1499244300,217,219.38,217,219,2608295
2017-07-05 15:15:00,1499247900,218.99,220.2,218.7,219.8,2413975
2017-07-06 09:15:00,1499312700,219.88,227.4,219.88,223.61,3847320
2017-07-06 10:15:00,1499316300,223.85,225.4,222.76,223.11,899540
2017-07-06 11:15:00,1499319900,223.11,223.99,221.74,222.7,627155
2017-07-06 12:15:00,1499323500,222.6,223.06,220.8,221.1,656350
2017-07-06 13:15:00,1499327100,221.1,222.63,219.21,221.79,781805
2017-07-06 14:15:00,1499330700,221.64,223.2,221.01,222.34,1286050
2017-07-06 15:15:00,1499334300,222.32,222.6,221.11,221.4,503300
2017-07-07 09:15:00,1499399100,223,226.85,218.42,220.2,2737425
2017-07-07 10:15:00,1499402700,220.16,221,218.26,219.64,426695
2017-07-07 11:15:00,1499406300,219.64,219.64,217.4,218,623970
2017-07-07 12:15:00,1499409900,218,220.16,217.63,219.99,756620
2017-07-07 13:15:00,1499413500,219.96,220.59,219.08,219.1,607710
2017-07-07 14:15:00,1499417100,219.1,220.08,217.23,217.66,917765
2017-07-07 15:15:00,1499420700,217.66,218.48,217.02,217.43,561265
2017-07-10 10:15:00,1499661900,216.82,216.82,205.82,205.82,64424565995
2017-07-10 11:15:00,1499665500,205.2,220,200.01,205.22,21474875910
2017-07-10 12:15:00,1499669100,220,220,205.22,211.8,21475061000
2017-07-10 13:15:00,1499672700,211.79,217.43,205.78,211.2,21474994550
2017-07-10 14:15:00,1499676300,211.2,212.96,210.83,211.2,444975
2017-07-10 15:15:00,1499679900,211.2,211.4,209.48,211.2,174440
2017-07-11 09:15:00,1499744700,212,212,207.18,207.79,1341345
2017-07-11 10:15:00,1499748300,207.97,208.28,205.81,206.4,655680
2017-07-11 11:15:00,1499751900,206.6,206.94,204.28,204.64,993130
2017-07-11 12:15:00,1499755500,204.64,205.49,203.6,204.97,791565
2017-07-11 13:15:00,1499759100,204.97,205.34,201.24,202.3,966390
2017-07-11 14:15:00,1499762700,202.15,203.58,201.28,202.9,1077175
2017-07-11 15:15:00,1499766300,202.9,203.1,202.19,202.25,883055
2017-07-12 09:15:00,1499831100,203.01,204.4,201,201.6,1874060
2017-07-12 10:15:00,1499834700,201.6,204.08,201.4,203.34,740430
2017-07-12 11:15:00,1499838300,203.34,204.39,202.16,203.19,922415
2017-07-12 12:15:00,1499841900,203.19,204.18,203.19,203.4,559435
2017-07-12 13:15:00,1499845500,203.4,204.2,203.06,203.95,307860
2017-07-12 14:15:00,1499849100,203.95,208.08,203.64,207.05,2162990
2017-07-12 15:15:00,1499852700,207.05,207.14,206.21,206.4,210285
2017-07-13 09:15:00,1499917500,205.2,208.36,204.91,207.76,877945
2017-07-13 10:15:00,1499921100,207.76,207.77,206.8,206.82,502010
2017-07-13 11:15:00,1499924700,206.82,207.02,205.72,205.99,833300
2017-07-13 12:15:00,1499928300,206,206.69,204.51,206.5,446190
2017-07-13 13:15:00,1499931900,206.5,206.6,205.69,205.7,353120
2017-07-13 14:15:00,1499935500,205.69,205.99,203.99,205.39,618875
2017-07-13 15:15:00,1499939100,205.43,205.56,204.56,205.08,224080
2017-07-14 09:15:00,1500003900,206,206.8,204.35,205.36,636425
2017-07-14 10:15:00,1500007500,205.36,205.52,202.92,204.12,253335
2017-07-14 11:15:00,1500011100,204.12,205.63,203.56,204.8,183330
2017-07-14 12:15:00,1500014700,204.8,205.41,203.8,205.21,255865
2017-07-14 13:15:00,1500018300,205.21,205.68,204.45,204.8,122550
2017-07-14 14:15:00,1500021900,204.8,207.09,204.6,206.5,880500
2017-07-14 15:15:00,1500025500,206.32,206.7,205.88,205.88,262220
2017-07-17 09:15:00,1500263100,207.2,208.62,204.1,204.4,952805
2017-07-17 10:15:00,1500266700,204.4,205.09,203.17,203.6,443220
2017-07-17 11:15:00,1500270300,203.68,204.02,203.6,203.83,354410
2017-07-17 12:15:00,1500273900,203.83,204.8,203.7,204,190295
2017-07-17 13:15:00,1500277500,204,204.1,202.08,202.99,451875
2017-07-17 14:15:00,1500281100,202.99,203.99,201.3,201.49,722010
2017-07-17 15:15:00,1500284700,201.4,202.55,200.8,201.8,603875
2017-07-18 09:15:00,1500349500,202.96,203.79,201.75,202,656555
2017-07-18 10:15:00,1500353100,202,202,200.51,201.28,453820
2017-07-18 11:15:00,1500356700,201.27,201.93,199.62,199.91,517770
2017-07-18 12:15:00,1500360300,199.91,200.3,196.06,196.66,1457700
2017-07-18 13:15:00,1500363900,196.66,197.96,195.74,196.26,1011740
2017-07-18 14:15:00,1500367500,196.26,196.83,192.65,192.86,1967980
2017-07-18 15:15:00,1500371100,192.86,193.17,191.9,193.16,854505
2017-07-19 09:15:00,1500435900,194.83,195.9,192.29,195.18,1276275
2017-07-19 10:15:00,1500439500,195.18,196.36,194.76,195.22,693640
2017-07-19 11:15:00,1500443100,195.3,195.59,194.83,194.92,848285
2017-07-19 12:15:00,1500446700,194.92,195.2,193.73,193.84,426635
2017-07-19 13:15:00,1500450300,193.84,194.66,193.66,194.35,397385
2017-07-19 14:15:00,1500453900,194.34,195.1,194,194.41,649530
